	id	chembl_cid1	chembl_cid2	core	sub1	sub2	pot1	pot2	dpot	thres	class	core_id	CGR	smi1	smi2
0	CHEMBL2315573-CHEMBL2315572	CHEMBL2315573	CHEMBL2315572	[R1]c1[nH]c2c(n1)c(c(cn2)C(F)(F)F)NCc3cccnc3N(C)S(=O)(=O)C	[R1]c1ccc(cc1)Br	[R1]c1ccc(cc1)F	6.7235381958267535	7.481486060122112	0.7579478642953577	1.5833946014635838	-1	2.0	CN(c1ncccc1CNc1c(C(F)(F)F)cnc2[nH]c(-c3ccc(Br)cc3)(~c3ccc(F)cc3)nc12)S(C)(=O)=O	CN(c1ncccc1CNc1c(C(F)(F)F)cnc2[nH]c(-c3ccc(Br)cc3)nc12)S(C)(=O)=O	CN(c1ncccc1CNc1c(C(F)(F)F)cnc2[nH]c(-c3ccc(F)cc3)nc12)S(C)(=O)=O
1	CHEMBL2315582-CHEMBL2315579	CHEMBL2315582	CHEMBL2315579	[R1]c1cc2c(c(cnc2[nH]1)C#N)NCc3cccnc3N(C)S(=O)(=O)C	[R1]c1ccc(cc1)CCCC	[R1]c1ccccc1	6.366531544420412	7.356547323513813	0.9900157790934008	1.5833946014635838	-1	1.0	CCCCc1ccc(-c2(~c3ccccc3)cc3c(NCc4cccnc4N(C)S(C)(=O)=O)c(C#N)cnc3[nH]2)cc1	CCCCc1ccc(-c2cc3c(NCc4cccnc4N(C)S(C)(=O)=O)c(C#N)cnc3[nH]2)cc1	CN(c1ncccc1CNc1c(C#N)cnc2[nH]c(-c3ccccc3)cc12)S(C)(=O)=O
2	CHEMBL2315579-CHEMBL2315583	CHEMBL2315579	CHEMBL2315583	[R1]c1cc2c(c(cnc2[nH]1)C#N)NCc3cccnc3N(C)S(=O)(=O)C	[R1]c1ccccc1	[R1]c1ccnc(c1)C	7.356547323513813	7.619788758288393	0.2632414347745797	1.5833946014635838	-1	1.0	Cc1cc(~c2(-c3ccccc3)cc3c(NCc4cccnc4N(C)S(C)(=O)=O)c(C#N)cnc3[nH]2)ccn1	CN(c1ncccc1CNc1c(C#N)cnc2[nH]c(-c3ccccc3)cc12)S(C)(=O)=O	Cc1cc(-c2cc3c(NCc4cccnc4N(C)S(C)(=O)=O)c(C#N)cnc3[nH]2)ccn1
3	CHEMBL2315582-CHEMBL2315580	CHEMBL2315580	CHEMBL2315582	[R1]c1cc2c(c(cnc2[nH]1)C#N)NCc3cccnc3N(C)S(=O)(=O)C	[R1]c1ccc(cc1)F	[R1]c1ccc(cc1)CCCC	6.219682687859849	6.366531544420412	0.1468488565605632	1.5833946014635838	-1	1.0	CCCCc1ccc(~c2(-c3ccc(F)cc3)cc3c(NCc4cccnc4N(C)S(C)(=O)=O)c(C#N)cnc3[nH]2)cc1	CN(c1ncccc1CNc1c(C#N)cnc2[nH]c(-c3ccc(F)cc3)cc12)S(C)(=O)=O	CCCCc1ccc(-c2cc3c(NCc4cccnc4N(C)S(C)(=O)=O)c(C#N)cnc3[nH]2)cc1
4	CHEMBL2425151-CHEMBL2425148	CHEMBL2425151	CHEMBL2425148	[R1]c1ccc(cc1)NC(=O)Nc2cc(nn2c3ccc(cc3)C)C(C)(C)C	[R1]c1csnn1	[R1]c1nnc(n1C)S	4.966576244513051	5.3979400086720375	0.4313637641589869	1.5833946014635838	-1	0.0	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3csnn3)(~c3nnc(S)n3C)cc2)cc1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3csnn3)cc2)cc1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3nnc(S)n3C)cc2)cc1
5	CHEMBL2425153-CHEMBL2425148	CHEMBL2425153	CHEMBL2425148	[R1]c1ccc(cc1)NC(=O)Nc2cc(nn2c3ccc(cc3)C)C(C)(C)C	[R1]c1cnco1	[R1]c1nnc(n1C)S	4.7986028756795465	5.3979400086720375	0.5993371329924901	1.5833946014635838	-1	0.0	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3cnco3)(~c3nnc(S)n3C)cc2)cc1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3cnco3)cc2)cc1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3nnc(S)n3C)cc2)cc1
6	CHEMBL2425156-CHEMBL2425148	CHEMBL2425148	CHEMBL2425156	[R1]c1ccc(cc1)NC(=O)Nc2cc(nn2c3ccc(cc3)C)C(C)(C)C	[R1]c1nnc(n1C)S	[R1]c1cccnc1	5.3979400086720375	6.113509274827518	0.7155692661554802	1.5833946014635838	-1	0.0	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3nnc(S)n3C)(~c3cccnc3)cc2)cc1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3nnc(S)n3C)cc2)cc1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3cccnc3)cc2)cc1
7	CHEMBL2425157-CHEMBL2425148	CHEMBL2425148	CHEMBL2425157	[R1]c1ccc(cc1)NC(=O)Nc2cc(nn2c3ccc(cc3)C)C(C)(C)C	[R1]c1nnc(n1C)S	[R1]c1ccc(nc1)N	5.3979400086720375	5.508638306165726	0.1106982974936885	1.5833946014635838	-1	0.0	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3nnc(S)n3C)(~c3ccc(N)nc3)cc2)cc1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3nnc(S)n3C)cc2)cc1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3ccc(N)nc3)cc2)cc1
8	CHEMBL2425158-CHEMBL2425148	CHEMBL2425158	CHEMBL2425148	[R1]c1ccc(cc1)NC(=O)Nc2cc(nn2c3ccc(cc3)C)C(C)(C)C	[R1]c1ccncc1	[R1]c1nnc(n1C)S	4.411168274405793	5.3979400086720375	0.9867717342662444	1.5833946014635838	-1	0.0	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3ccncc3)(~c3nnc(S)n3C)cc2)cc1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3ccncc3)cc2)cc1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3nnc(S)n3C)cc2)cc1
9	CHEMBL2425159-CHEMBL2425148	CHEMBL2425159	CHEMBL2425148	[R1]c1ccc(cc1)NC(=O)Nc2cc(nn2c3ccc(cc3)C)C(C)(C)C	[R1]c1nc(cc(n1)OC)OC	[R1]c1nnc(n1C)S	5.016373712875464	5.3979400086720375	0.3815662957965733	1.5833946014635838	-1	0.0	COc1cc(OC)nc(-c2(~c3nnc(S)n3C)ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)cc2)n1	COc1cc(OC)nc(-c2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)cc2)n1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3nnc(S)n3C)cc2)cc1
