	ids	cid	#tr	#ac_tr	trueY	predY	prob	neighbor	distance
0	CHEMBL3114856-CHEMBL3114851	17	285	15	-1	-1	0.0	1; 0; 6; 3; 264	0.4642857142857143; 0.5; 0.75; 0.7804878048780488; 0.9799874921826142
1	CHEMBL3114852-CHEMBL3114856	17	285	15	-1	-1	0.0	3; 0; 6; 1; 264	0.37142857142857144; 0.4242424242424243; 0.7; 0.7804878048780488; 0.9854696419304618
2	CHEMBL3114856-CHEMBL3114854	17	285	15	-1	-1	0.0	6; 3; 1; 0; 264	0.33333333333333326; 0.4285714285714286; 0.4516129032258065; 0.7804878048780488; 0.9848238482384823
3	CHEMBL3114857-CHEMBL3114856	17	285	15	-1	-1	0.0	6; 3; 1; 0; 264	0.43333333333333335; 0.7; 0.75; 0.7631578947368421; 0.983739837398374
4	CHEMBL3127479-CHEMBL3124966	17	285	15	-1	-1	0.0	8; 429; 430; 431; 43	0.5; 0.9659090909090908; 0.9848484848484849; 0.9919786096256684; 0.9953488372093023
5	CHEMBL3127470-CHEMBL3127479	17	285	15	-1	-1	0.0	12; 11; 17; 14; 25	0.4516129032258065; 0.48484848484848486; 0.5142857142857142; 0.5882352941176471; 0.5945945945945946
6	CHEMBL3127479-CHEMBL3127474	17	285	15	-1	-1	0.0	8; 16; 30; 26; 33	0.7142857142857143; 0.9382566585956417; 0.9387222946544981; 0.9442318206670312; 0.9442318206670312
7	CHEMBL3127475-CHEMBL3127479	17	285	15	-1	-1	0.0	11; 19; 24; 23; 20	0.4242424242424243; 0.4242424242424243; 0.4864864864864865; 0.4864864864864865; 0.4864864864864865
8	CHEMBL3127477-CHEMBL3127479	17	285	15	-1	-1	0.0	25; 20; 31; 13; 28	0.4; 0.43243243243243246; 0.46153846153846156; 0.48571428571428577; 0.5263157894736842
9	CHEMBL3127479-CHEMBL3127478	17	285	15	-1	-1	0.0	14; 21; 33; 28; 34	0.4516129032258065; 0.48484848484848486; 0.5142857142857142; 0.5142857142857142; 0.5142857142857142
10	CHEMBL3127480-CHEMBL3127479	17	285	15	-1	-1	0.0	26; 23; 37; 16; 33	0.4; 0.43243243243243246; 0.46153846153846156; 0.48571428571428577; 0.5263157894736842
11	CHEMBL3127482-CHEMBL3127479	17	285	15	-1	-1	0.0	27; 17; 24; 37; 31	0.4; 0.4; 0.43243243243243246; 0.46153846153846156; 0.46153846153846156
12	CHEMBL3352850-CHEMBL3355668	17	285	15	-1	-1	0.0	48; 38; 42; 74; 68	0.46875; 0.5; 0.5526315789473685; 0.5882352941176471; 0.65
13	CHEMBL3352850-CHEMBL3355677	17	285	15	-1	-1	0.0	42; 46; 48; 140; 112	0.34285714285714286; 0.4516129032258065; 0.47058823529411764; 0.5675675675675675; 0.575
14	CHEMBL3352850-CHEMBL3355678	17	285	15	-1	-1	0.0	42; 48; 47; 113; 61	0.34285714285714286; 0.4242424242424243; 0.4516129032258065; 0.575; 0.59375
