	ids	cid	#tr	#ac_tr	trueY	predY	prob	neighbor	distance
0	CHEMBL1173532-CHEMBL1818458	15	559	29	-1	-1	0.0	4; 5; 2; 7; 9	0.64; 0.7407407407407407; 0.7407407407407407; 0.782608695652174; 0.8076923076923077
1	CHEMBL1173532-CHEMBL1818466	15	559	29	-1	-1	0.0	5; 3; 8; 0; 7	0.5454545454545454; 0.6842105263157895; 0.6956521739130435; 0.6956521739130435; 0.7
2	CHEMBL1944829_CHEMBL2079586_CHEMBL2096857_CHEMBL222705_CHEMBL40560-CHEMBL1214005_CHEMBL1947098	15	559	29	-1	-1	0.0	777; 14; 776; 778; 779	0.9324577861163227; 0.9348837209302325; 0.9581881533101045; 0.9655667144906743; 0.983739837398374
3	CHEMBL1214059_CHEMBL1944824-CHEMBL1945251_CHEMBL611180	15	559	29	-1	-1	0.0	14; 81; 641; 639; 638	0.21052631578947367; 0.9659090909090909; 1.0; 1.0; 1.0
4	CHEMBL1645613-CHEMBL1645599	15	559	29	-1	-1	0.0	16; 744; 766; 922; 753	0.6896551724137931; 0.9923444976076555; 0.9947368421052631; 0.9953007518796992; 0.9956140350877193
5	CHEMBL1818458-CHEMBL1818453	15	559	29	-1	-1	0.0	20; 21; 18; 19; 23	0.5151515151515151; 0.6285714285714286; 0.6285714285714286; 0.6451612903225806; 0.6451612903225806
6	CHEMBL1818453-CHEMBL1818466	15	559	29	-1	-1	0.0	21; 24; 23; 19; 20	0.48275862068965525; 0.5714285714285714; 0.5925925925925926; 0.5925925925925926; 0.6764705882352942
7	CHEMBL1818458-CHEMBL1818459	15	559	29	-1	-1	0.2	37; 38; 40; 2; 43	0.53125; 0.6176470588235294; 0.625; 0.6774193548387096; 0.6923076923076923
8	CHEMBL1818458-CHEMBL1818464	15	559	29	-1	-1	0.0	53; 37; 55; 57; 20	0.6764705882352942; 0.6764705882352942; 0.6875; 0.7222222222222222; 0.7297297297297297
9	CHEMBL1818458-CHEMBL1818465	15	559	29	-1	-1	0.0	53; 38; 61; 63; 5	0.53125; 0.6176470588235294; 0.625; 0.6666666666666666; 0.6774193548387096
10	CHEMBL1818467-CHEMBL1818458	15	559	29	-1	-1	0.0	55; 61; 40; 72; 48	0.5714285714285714; 0.6666666666666666; 0.6666666666666666; 0.7333333333333333; 0.7407407407407407
11	CHEMBL1818458-CHEMBL1818468	15	559	29	-1	-1	0.0	56; 41; 62; 49; 75	0.5151515151515151; 0.5714285714285714; 0.6; 0.6129032258064516; 0.6176470588235294
