	ids	cid	#tr	#ac_tr	trueY	predY	prob	neighbor	distance
0	CHEMBL175653-CHEMBL175581	5	416	29	1	-1	0.4	685; 73; 95; 683; 114	0.7058823529411765; 0.7631578947368421; 0.7631578947368421; 0.7647058823529411; 0.7714285714285715
1	CHEMBL178998-CHEMBL175581	5	416	29	1	-1	0.4	73; 72; 74; 685; 76	0.5882352941176471; 0.6111111111111112; 0.6764705882352942; 0.6764705882352942; 0.696969696969697
2	CHEMBL175581-CHEMBL427484	5	416	29	-1	1	0.6	93; 112; 683; 74; 95	0.7368421052631579; 0.7894736842105263; 0.825; 0.8333333333333334; 0.8444444444444444
3	CHEMBL175653-CHEMBL176230	5	416	29	-1	-1	0.4	96; 93; 95; 72; 683	0.6451612903225806; 0.6666666666666666; 0.7058823529411765; 0.7222222222222222; 0.7419354838709677
4	CHEMBL175653-CHEMBL178998	5	416	29	-1	-1	0.4	74; 73; 72; 76; 114	0.6774193548387096; 0.7058823529411765; 0.7222222222222222; 0.7419354838709677; 0.75
5	CHEMBL175653-CHEMBL427484	5	416	29	1	1	0.6	96; 683; 93; 74; 95	0.8205128205128205; 0.8378378378378378; 0.8421052631578947; 0.8461538461538461; 0.8571428571428571
6	CHEMBL424961-CHEMBL175943	5	416	29	-1	-1	0.0	62; 58; 59; 63; 32	0.5925925925925926; 0.6551724137931034; 0.6666666666666666; 0.7; 0.7
7	CHEMBL178998-CHEMBL176230	5	416	29	-1	-1	0.4	93; 74; 72; 76; 96	0.5862068965517241; 0.6451612903225806; 0.6571428571428571; 0.7096774193548387; 0.7352941176470589
8	CHEMBL178998-CHEMBL427484	5	416	29	1	1	0.8	74; 72; 683; 93; 73	0.6944444444444444; 0.7619047619047619; 0.7837837837837838; 0.7894736842105263; 0.8095238095238095
9	CHEMBL2112988-CHEMBL179425	5	416	29	-1	-1	0.0	43; 138; 128; 104; 387	0.9130434782608695; 0.9388679245283019; 0.9483076923076923; 0.95; 0.9506172839506173
10	CHEMBL364162-CHEMBL188088	5	416	29	1	-1	0.4	121; 122; 58; 630; 119	0.6451612903225806; 0.6571428571428571; 0.6785714285714286; 0.6857142857142857; 0.7105263157894737
11	CHEMBL364871-CHEMBL188088	5	416	29	1	-1	0.0	57; 121; 122; 30; 103	0.6785714285714286; 0.7333333333333333; 0.7352941176470589; 0.8246753246753247; 0.8328571428571429
12	CHEMBL364871-CHEMBL190219	5	416	29	-1	-1	0.0	48; 624; 625; 50; 68	0.6842105263157895; 0.8148820326678765; 0.8148820326678765; 0.8366606170598911; 0.84688995215311
13	CHEMBL209416-CHEMBL213949	5	416	29	-1	-1	0.0	205; 196; 198; 191; 192	0.8285714285714286; 0.8387096774193549; 0.8387096774193549; 0.8484848484848485; 0.8484848484848485
14	CHEMBL209416-CHEMBL377479	5	416	29	-1	-1	0.0	171; 316; 312; 270; 194	0.7941176470588235; 0.8; 0.8; 0.8108108108108109; 0.8181818181818182
15	CHEMBL209416-CHEMBL385141	5	416	29	-1	-1	0.0	178; 189; 185; 183; 180	0.6285714285714286; 0.6666666666666666; 0.6666666666666666; 0.6842105263157895; 0.6842105263157895
16	CHEMBL209416-CHEMBL438615	5	416	29	-1	-1	0.0	191; 270; 171; 316; 312	0.7741935483870968; 0.7894736842105263; 0.8055555555555556; 0.8108108108108109; 0.8108108108108109
17	CHEMBL215619-CHEMBL212756	5	416	29	-1	-1	0.0	426; 398; 401; 617; 32	0.5862068965517241; 0.6206896551724138; 0.6774193548387096; 0.7352941176470589; 0.7384615384615385
18	CHEMBL377479-CHEMBL213949	5	416	29	-1	-1	0.0	198; 647; 196; 272; 249	0.8709677419354839; 0.8709677419354839; 0.8709677419354839; 0.8787878787878788; 0.8787878787878788
19	CHEMBL385141-CHEMBL213949	5	416	29	-1	-1	0.0	183; 185; 189; 178; 180	0.675; 0.6923076923076923; 0.6923076923076923; 0.6923076923076923; 0.7073170731707317
20	CHEMBL438615-CHEMBL213949	5	416	29	-1	-1	0.0	246; 249; 191; 180; 165	0.8181818181818182; 0.8181818181818182; 0.8181818181818182; 0.8333333333333334; 0.85
21	CHEMBL214126-CHEMBL215359	5	416	29	-1	-1	0.0	372; 460; 407; 370; 550	0.6360294117647058; 0.7355769230769231; 0.7608695652173914; 0.8125; 0.8309859154929577
22	CHEMBL215754-CHEMBL214126	5	416	29	-1	-1	0.0	372; 370; 374; 407; 460	0.49583333333333335; 0.7708333333333333; 0.7708333333333333; 0.7994791666666667; 0.8035714285714286
23	CHEMBL217699-CHEMBL215131	5	416	29	-1	-1	0.0	348; 350; 349; 657; 663	0.6380434782608696; 0.6852551984877127; 0.7318840579710144; 0.8235294117647058; 0.85
24	CHEMBL215754-CHEMBL215359	5	416	29	-1	-1	0.0	321; 303; 376; 370; 374	0.8260869565217391; 0.8620689655172413; 0.8804347826086957; 0.9017857142857142; 0.923611111111111
25	CHEMBL384079-CHEMBL217699	5	416	29	-1	-1	0.0	349; 366; 363; 336; 348	0.5453686200378072; 0.6723027375201288; 0.7318840579710144; 0.7318840579710144; 0.742608695652174
26	CHEMBL232634-CHEMBL232835	5	416	29	-1	-1	0.0	681; 604; 607; 500; 507	0.2777777777777778; 0.510752688172043; 0.5622895622895623; 0.5751633986928104; 0.5841750841750842
27	CHEMBL394823-CHEMBL245135	5	416	29	-1	-1	0.0	564; 537; 673; 516; 592	0.5882352941176471; 0.6; 0.6470588235294118; 0.75; 0.7619047619047619
28	CHEMBL245135-CHEMBL396957	5	416	29	-1	-1	0.0	523; 573; 558; 572; 516	0.5714285714285714; 0.6666666666666666; 0.6923076923076923; 0.7307692307692307; 0.7407407407407407
29	CHEMBL364871-CHEMBL364162	5	416	29	-1	-1	0.2	141; 102; 122; 139; 119	0.5625; 0.6785714285714286; 0.6944444444444444; 0.7692789968652037; 0.775
30	CHEMBL377479-CHEMBL385141	5	416	29	-1	-1	0.0	178; 185; 189; 180; 194	0.5882352941176471; 0.5882352941176471; 0.5882352941176471; 0.6111111111111112; 0.6129032258064516
31	CHEMBL377479-CHEMBL438615	5	416	29	-1	-1	0.0	249; 191; 246; 192; 272	0.7407407407407407; 0.7407407407407407; 0.7407407407407407; 0.7857142857142857; 0.7857142857142857
32	CHEMBL384738-CHEMBL425791	5	416	29	-1	-1	0.0	261; 367; 257; 36; 39	0.7407407407407407; 0.7878787878787878; 0.7878787878787878; 0.8879310344827587; 0.8942307692307692
33	CHEMBL438615-CHEMBL385141	5	416	29	-1	-1	0.0	194; 270; 312; 316; 180	0.6129032258064516; 0.6285714285714286; 0.6470588235294118; 0.6470588235294118; 0.6486486486486487
34	CHEMBL394823-CHEMBL396957	5	416	29	-1	-1	0.0	515; 531; 573; 537; 522	0.5263157894736842; 0.6; 0.6190476190476191; 0.625; 0.6363636363636364
