nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CCN(C)CCCCCNC(=O)C(Cc1ccccc1)NC(=O)C(N)Cc1c[nH]cn1	Q9Y468	Kd	Homo sapiens		4.107905397309518		CHEMBL1767020	CHEMBL1287622
CCN1Cc2ccc(NC(=O)c3ccc(C(=O)N4CCC(C5CCCN5)CC4)cc3)cc2C1	Q9Y468	Kd	Homo sapiens		4.167491087293763		CHEMBL2426375	CHEMBL1287622
NC(Cc1c[nH]cn1)C(=O)NC(Cc1ccccc1)C(=O)NCCCCCN1CCCC1	Q9Y468	Kd	Homo sapiens		4.431798275933005		CHEMBL1767021	CHEMBL1287622
O=C(NCCCCCN1CCCC1)c1cncc(Br)c1	Q9Y468	Kd	Homo sapiens		4.585026652029182		CHEMBL1767022	CHEMBL1287622
O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Nc2ccccc2)c1)N1CCC(N2CCCC2)CC1	Q9Y468	Kd	Homo sapiens		5.026872146400301		CHEMBL2426364	CHEMBL1287622
O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)cc1)N1CCC(N2CCCC2)CC1	Q9Y468	Kd	Homo sapiens		5.207608310501746		CHEMBL2426498	CHEMBL1287622
O=C(c1cccc(Br)c1)N1CCC(N2CCCC2)CC1	Q9Y468	Kd	Homo sapiens		5.4089353929735005		CHEMBL2426369	CHEMBL1287622
O=C(c1cncc(Br)c1)N1CCC(N2CCCC2)CC1	Q9Y468	Kd	Homo sapiens		5.122177181473472		CHEMBL1235119	CHEMBL1287622
O=S(=O)(NCCCCCN1CCC(F)C1)c1cccc(Br)c1	Q9Y468	Kd	Homo sapiens		4.292429823902062		CHEMBL1767028	CHEMBL1287622
O=S(=O)(NCCCCCN1CCCC1)c1cccc(Br)c1	Q9Y468	Kd	Homo sapiens		4.6020599913279625		CHEMBL1767025	CHEMBL1287622
c1ccc(N2CCC(N3CCCC3)CC2)cc1	Q9Y468	Kd	Homo sapiens		4.318758762624412		CHEMBL3134141	CHEMBL1287622
