nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CC(=O)N1c2ccc(-c3cc[nH]c3)cc2C(NC(=O)OC(C)C)CC1C	P25440	Kd	Homo sapiens		7.208796829797758		CHEMBL4206677	CHEMBL1293289
CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2C(Nc2ccc(Cl)cc2)CC1C	P25440	Kd	Homo sapiens		7.602059991327962		CHEMBL2177300	CHEMBL1293289
CC(=O)N1c2ccc(-c3ccc(NC(=O)CCCCCCC(=O)NO)cc3)cc2C(NC(=O)OC(C)C)CC1C	P25440	Kd	Homo sapiens		7.494850021680094		CHEMBL3220922	CHEMBL1293289
CC(=O)N1c2ccc(-c3ccc[nH]3)cc2C(NC(=O)OC(C)C)CC1C	P25440	Kd	Homo sapiens		7.115630691756008		CHEMBL4202664	CHEMBL1293289
CC(=O)N1c2ccc(-c3cccs3)cc2C(NC(=O)OC(C)C)CC1C	P25440	Kd	Homo sapiens		7.322106696977838		CHEMBL4205876	CHEMBL1293289
CC(=O)N1c2ccc(-c3ccoc3)cc2C(NC(=O)OC(C)C)CC1C	P25440	Kd	Homo sapiens		6.68834692315915		CHEMBL4207106	CHEMBL1293289
CC(=O)N1c2ccc(-c3ccsc3)cc2C(NC(=O)OC(C)C)CC1C	P25440	Kd	Homo sapiens		7.2581895623560735		CHEMBL4210405	CHEMBL1293289
CC(=O)NCCCCn1c2c(c3ccccc31)C(=O)NCC2	P25440	Kd	Homo sapiens		5.103819720656998		CHEMBL3770724	CHEMBL1293289
CCNC(=O)CC1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	P25440	Kd	Homo sapiens		6.97733851060667		CHEMBL1232461	CHEMBL1293289
CCOC(=O)Nc1cc(-c2ccc(C)c(NS(C)(=O)=O)c2)nn2c(C)nnc12	P25440	Kd	Homo sapiens		7.298432014944072		CHEMBL3133807	CHEMBL1293289
CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1	P25440	Kd	Homo sapiens		9.0		CHEMBL3987016	CHEMBL1293289
CNC(=O)c1ccc(-c2cc3cccc(-c4nn(C5CCOCC5)c5c4CN(C(C)=O)CC5)c3cn2)cn1	P25440	Kd	Homo sapiens		5.086186147616283		CHEMBL4208820	CHEMBL1293289
COc1cc(OC)c2c(=O)cc(-c3cc(C)c(OCC(O)CN4CCCCC4)c(C)c3)oc2c1	P25440	Kd	Homo sapiens		6.004062145247338		CHEMBL4455209_CHEMBL4549898	CHEMBL1293289
COc1cc(OC)c2c(=O)cc(-c3cc(C)c(OCC(O)CN4CCN(C)CC4)c(C)c3)oc2c1	P25440	Kd	Homo sapiens		5.956230586414173		CHEMBL4517875_CHEMBL4557050	CHEMBL1293289
COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(-c3ccnc4ccccc34)c12	P25440	Kd	Homo sapiens		8.958607314841776		CHEMBL4171228	CHEMBL1293289
Cc1[nH]c(-c2cc(NS(C)(=O)=O)ccc2Oc2ccccc2)c2c1C(=O)CCC2	P25440	Kd	Homo sapiens		7.853871964321763		CHEMBL4063051	CHEMBL1293289
Cc1[nH]c(-c2cc(S(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2c1C(=O)NCC2	P25440	Kd	Homo sapiens		7.568636235841013		CHEMBL3786012	CHEMBL1293289
Cc1ccc2ncccc2c1-c1cc(-c2c(C)noc2C)cc2nc(C3CC3)[nH]c12	P25440	Kd	Homo sapiens		8.958607314841776		CHEMBL3926851	CHEMBL1293289
Cc1nnc2n1-c1sc(C#Cc3cnn(C)c3)c(Cc3ccccc3)c1COC2	P25440	Kd	Homo sapiens		8.420066076453718		CHEMBL4555209	CHEMBL1293289
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=NC(CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2	P25440	Kd	Homo sapiens		7.733012345795396		CHEMBL3581647_CHEMBL4127310	CHEMBL1293289
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=NC(CC(=O)OC(C)(C)C)c1nnc(C)n1-2	P25440	Kd	Homo sapiens		7.051884827769342		CHEMBL1957266_CHEMBL2132936_CHEMBL3220211	CHEMBL1293289
Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc[nH]c(=O)c21	P25440	Kd	Homo sapiens		6.795880017344076		CHEMBL4088466	CHEMBL1293289
Cn1cc2c3c(c[nH]c3c1=O)CN(c1ccc(F)cc1F)c1ccc(CS(C)(=O)=O)cc1-2	P25440	Kd	Homo sapiens		8.602059991327963		CHEMBL4217457	CHEMBL1293289
Cn1cc2c3c(c[nH]c3c1=O)CN(c1ccccn1)c1ccc(CS(C)(=O)=O)cc1-2	P25440	Kd	Homo sapiens		9.318758762624412		CHEMBL4208129	CHEMBL1293289
