nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1	P29317	Kd	Homo sapiens		6.795880017344076		CHEMBL574738	CHEMBL2068
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1	P29317	Kd	Homo sapiens		5.6020599913279625		CHEMBL428690	CHEMBL2068
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	P29317	Kd	Homo sapiens		5.990649750666878		CHEMBL1537489_CHEMBL162_CHEMBL1980995_CHEMBL388978	CHEMBL2068
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1	P29317	Kd	Homo sapiens		5.839926856944473		CHEMBL24828_CHEMBL533849	CHEMBL2068
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1	P29317	Kd	Homo sapiens		6.075720713938117		CHEMBL572878	CHEMBL2068
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1	P29317	Kd	Homo sapiens		5.358123308333736		CHEMBL103667	CHEMBL2068
Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1	P29317	Kd	Homo sapiens		8.096910013008056		CHEMBL249097	CHEMBL2068
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1	P29317	Kd	Homo sapiens		9.070581074285707		CHEMBL1421	CHEMBL2068
Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21	P29317	Kd	Homo sapiens		5.537602002101044		CHEMBL558752	CHEMBL2068
O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1	P29317	Kd	Homo sapiens		6.431798275933005		CHEMBL259084	CHEMBL2068
O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl	P29317	Kd	Homo sapiens		5.6777807052660805	5.0	CHEMBL119385	CHEMBL2068
