nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C	P80192	Kd	Homo sapiens		5.468521082957745		CHEMBL3109278_CHEMBL535	CHEMBL2872
CN(C)CC1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1	P80192	Kd	Homo sapiens		5.853871964321763		CHEMBL432130_CHEMBL91829	CHEMBL2872
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1	P80192	Kd	Homo sapiens		5.2441251443275085		CHEMBL428690	CHEMBL2872
CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1	P80192	Kd	Homo sapiens		5.00436480540245		CHEMBL522892	CHEMBL2872
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	P80192	Kd	Homo sapiens		8.0		CHEMBL1537489_CHEMBL162_CHEMBL1980995_CHEMBL388978	CHEMBL2872
CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1	P80192	Kd	Homo sapiens		7.823908740944319		CHEMBL3989870	CHEMBL2872
Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(O)CN1CCOCC1	P80192	Kd	Homo sapiens		5.585026652029182		CHEMBL1721885	CHEMBL2872
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1	P80192	Kd	Homo sapiens		6.4089353929735005		CHEMBL572878	CHEMBL2872
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O	P80192	Kd	Homo sapiens		6.537602002101044		CHEMBL477772	CHEMBL2872
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F	P80192	Kd	Homo sapiens		5.443697499232711		CHEMBL191003	CHEMBL2872
