	ids	cid	#tr	#ac_tr	trueY	predY	prob	neighbor	distance
0	CHEMBL1257614-CHEMBL1257968	4	859	38	-1	1	1.0	11	0.3870967741935484
1	CHEMBL128647-CHEMBL132884	4	859	38	-1	-1	0.0	62	0.33333333333333326
2	CHEMBL165022-CHEMBL164950	4	859	38	-1	-1	0.0	1327	0.9987654320987654
3	CHEMBL175466-CHEMBL177398	4	859	38	-1	-1	0.0	200	0.48275862068965525
4	CHEMBL175466-CHEMBL179025	4	859	38	-1	-1	0.0	197	0.6764705882352942
5	CHEMBL177398-CHEMBL179025	4	859	38	-1	-1	0.0	171	0.7272727272727273
6	CHEMBL370136-CHEMBL197656	4	859	38	-1	-1	0.0	323	0.6785714285714286
7	CHEMBL201240-CHEMBL202175	4	859	38	-1	-1	0.0	378	0.4736842105263157
8	CHEMBL201240-CHEMBL202229	4	859	38	-1	-1	0.0	369	0.368421052631579
9	CHEMBL201240-CHEMBL202670	4	859	38	-1	-1	0.0	385	0.5277777777777778
10	CHEMBL201240-CHEMBL203200	4	859	38	-1	-1	0.0	372	0.6578947368421053
11	CHEMBL201240-CHEMBL205238	4	859	38	-1	-1	0.0	376	0.5833333333333334
12	CHEMBL370191-CHEMBL201240	4	859	38	-1	-1	0.0	387	0.5555555555555556
13	CHEMBL202175-CHEMBL202229	4	859	38	-1	-1	0.0	621	0.375
14	CHEMBL202670-CHEMBL202175	4	859	38	-1	-1	0.0	780	0.5142857142857142
15	CHEMBL202175-CHEMBL203200	4	859	38	-1	-1	0.0	698	0.7
16	CHEMBL205238-CHEMBL202175	4	859	38	-1	-1	0.0	769	0.5
17	CHEMBL370191-CHEMBL202175	4	859	38	-1	-1	0.0	797	0.5111111111111111
18	CHEMBL202670-CHEMBL202229	4	859	38	-1	-1	0.0	628	0.4
19	CHEMBL202229-CHEMBL203200	4	859	38	-1	-1	0.0	615	0.6
20	CHEMBL205238-CHEMBL202229	4	859	38	-1	-1	0.0	619	0.42105263157894735
21	CHEMBL370191-CHEMBL202229	4	859	38	-1	-1	0.0	630	0.4222222222222223
22	CHEMBL205238-CHEMBL202670	4	859	38	-1	-1	0.0	768	0.5882352941176471
23	CHEMBL370191-CHEMBL202670	4	859	38	-1	-1	0.0	1301	0.5681818181818182
24	CHEMBL205238-CHEMBL203200	4	859	38	-1	-1	0.0	600	0.7317073170731707
25	CHEMBL370191-CHEMBL203200	4	859	38	-1	-1	0.0	707	0.7021276595744681
26	CHEMBL370191-CHEMBL205238	4	859	38	-1	-1	0.0	778	0.6
27	CHEMBL207871-CHEMBL205264	4	859	38	-1	-1	0.0	1260	0.8004434589800444
28	CHEMBL208228-CHEMBL205264	4	859	38	-1	-1	0.0	692	0.5384615384615384
29	CHEMBL207871-CHEMBL208228	4	859	38	-1	-1	0.0	1261	0.8327526132404182
30	CHEMBL213336-CHEMBL213424	4	859	38	-1	-1	0.0	1277	0.6
31	CHEMBL213336-CHEMBL213834	4	859	38	-1	-1	0.0	824	0.7027027027027027
32	CHEMBL213424-CHEMBL213834	4	859	38	-1	-1	0.0	824	0.7317073170731707
33	CHEMBL218203-CHEMBL25236_CHEMBL540612	4	859	38	-1	-1	0.0	1203	0.6363636363636364
34	CHEMBL221866-CHEMBL220754	4	859	38	-1	-1	0.0	863	0.22916666666666663
35	CHEMBL222188-CHEMBL221513	4	859	38	-1	-1	0.0	894	0.8387096774193549
36	CHEMBL221513-CHEMBL222477	4	859	38	-1	-1	0.0	888	0.7857142857142857
37	CHEMBL221513-CHEMBL225284	4	859	38	1	-1	0.0	888	0.8
38	CHEMBL221513-CHEMBL244161	4	859	38	-1	-1	0.0	888	0.8
39	CHEMBL222188-CHEMBL222477	4	859	38	1	-1	0.0	1356	0.7704918032786885
40	CHEMBL222477-CHEMBL224820	4	859	38	-1	-1	0.0	1338	0.64
41	CHEMBL222477-CHEMBL225284	4	859	38	-1	-1	0.0	888	0.7857142857142857
42	CHEMBL222477-CHEMBL244161	4	859	38	-1	-1	0.0	888	0.7857142857142857
43	CHEMBL224820-CHEMBL225284	4	859	38	-1	-1	0.0	1310	0.9054621848739496
44	CHEMBL244161-CHEMBL224820	4	859	38	-1	-1	0.0	1310	0.9054621848739496
45	CHEMBL257077-CHEMBL233407_CHEMBL393105	4	859	38	-1	-1	0.0	1191	0.5909090909090909
46	CHEMBL270589-CHEMBL233407_CHEMBL393105	4	859	38	1	-1	0.0	1108	0.6428571428571429
47	CHEMBL256853-CHEMBL257077	4	859	38	-1	-1	0.0	1190	0.6585365853658537
48	CHEMBL270589-CHEMBL256853	4	859	38	1	-1	0.0	1190	0.6410256410256411
