	ids	cid	#tr	#ac_tr	trueY	predY	prob	neighbor	distance
0	CHEMBL1095172-CHEMBL1095488	1	699	28	-1	-1	0.0	702	0.9862637362637363
1	CHEMBL16677-CHEMBL201022	1	699	28	-1	1	1.0	324	0.30000000000000004
2	CHEMBL16677-CHEMBL27041	1	699	28	1	-1	0.0	767	0.3913043478260869
3	CHEMBL27043-CHEMBL16677	1	699	28	1	-1	0.0	769	0.5625
4	CHEMBL275427-CHEMBL16677	1	699	28	1	-1	0.0	595	0.48
5	CHEMBL278039-CHEMBL16677	1	699	28	1	-1	0.0	593	0.48
6	CHEMBL1671922-CHEMBL1671917	1	699	28	-1	-1	0.0	12	0.33333333333333326
7	CHEMBL1671922-CHEMBL1671921	1	699	28	-1	-1	0.0	9	0.6086956521739131
8	CHEMBL16929-CHEMBL201022	1	699	28	-1	1	1.0	324	0.2666666666666666
9	CHEMBL16929-CHEMBL278039	1	699	28	1	-1	0.0	102	0.6989473684210525
10	CHEMBL17003-CHEMBL201022	1	699	28	1	1	1.0	324	0.2666666666666666
11	CHEMBL17003-CHEMBL27041	1	699	28	-1	-1	0.0	767	0.34782608695652173
12	CHEMBL27043-CHEMBL17003	1	699	28	-1	-1	0.0	769	0.5
13	CHEMBL17003-CHEMBL275427	1	699	28	-1	-1	0.0	374	0.48
14	CHEMBL17003-CHEMBL278039	1	699	28	-1	-1	0.0	372	0.48
15	CHEMBL1762513-CHEMBL1762515	1	699	28	-1	-1	0.0	778	0.9620081411126188
16	CHEMBL197605-CHEMBL199327	1	699	28	-1	-1	0.0	540	0.4285714285714286
17	CHEMBL197605-CHEMBL201523	1	699	28	-1	-1	0.0	282	0.4772727272727273
18	CHEMBL197605-CHEMBL203359	1	699	28	-1	-1	0.0	40	0.6
19	CHEMBL201157-CHEMBL198338	1	699	28	-1	-1	0.0	56	0.4193548387096775
20	CHEMBL198338-CHEMBL370205	1	699	28	-1	-1	0.0	49	0.4864864864864865
21	CHEMBL199326-CHEMBL199327	1	699	28	-1	-1	0.0	585	0.2272727272727273
22	CHEMBL199326-CHEMBL201523	1	699	28	-1	1	1.0	65	0.5319148936170213
23	CHEMBL199326-CHEMBL203359	1	699	28	-1	-1	0.0	617	0.5
24	CHEMBL199834-CHEMBL199327	1	699	28	-1	-1	0.0	68	0.4347826086956521
25	CHEMBL201006-CHEMBL199327	1	699	28	-1	-1	0.0	32	0.17391304347826086
26	CHEMBL201054-CHEMBL199327	1	699	28	-1	-1	0.0	70	0.5
27	CHEMBL201321-CHEMBL199327	1	699	28	-1	-1	0.0	366	0.4285714285714286
28	CHEMBL201679-CHEMBL199327	1	699	28	-1	-1	0.0	346	0.43999999999999995
29	CHEMBL203148-CHEMBL199327	1	699	28	-1	-1	0.0	595	0.4285714285714286
30	CHEMBL199327-CHEMBL381473	1	699	28	-1	-1	0.0	429	0.43999999999999995
31	CHEMBL199353-CHEMBL199354	1	699	28	-1	-1	0.0	92	0.47619047619047616
32	CHEMBL199353-CHEMBL200012	1	699	28	1	-1	0.0	265	0.4545454545454546
33	CHEMBL201243-CHEMBL199354	1	699	28	-1	-1	0.0	511	0.34090909090909083
34	CHEMBL382234-CHEMBL199354	1	699	28	-1	-1	0.0	129	0.569055944055944
35	CHEMBL201157-CHEMBL199399	1	699	28	-1	-1	0.0	111	0.4117647058823529
36	CHEMBL201791-CHEMBL199399	1	699	28	-1	-1	0.0	96	0.46153846153846156
37	CHEMBL199399-CHEMBL370205	1	699	28	-1	-1	0.0	107	0.696969696969697
38	CHEMBL370629-CHEMBL199399	1	699	28	-1	-1	0.0	95	0.4285714285714286
39	CHEMBL381540-CHEMBL199399	1	699	28	-1	-1	0.0	100	0.5217391304347826
40	CHEMBL199688-CHEMBL199446	1	699	28	-1	-1	0.0	129	0.34615384615384615
41	CHEMBL199446-CHEMBL378815	1	699	28	-1	-1	0.0	128	0.7428571428571429
42	CHEMBL382135-CHEMBL199446	1	699	28	-1	-1	0.0	131	0.5416666666666666
43	CHEMBL201791-CHEMBL199583	1	699	28	-1	-1	0.0	136	0.4137931034482758
44	CHEMBL199583-CHEMBL370205	1	699	28	-1	-1	0.0	148	0.6486486486486487
45	CHEMBL370629-CHEMBL199583	1	699	28	-1	-1	0.0	135	0.3870967741935484
46	CHEMBL381540-CHEMBL199583	1	699	28	-1	-1	0.0	94	0.46153846153846156
47	CHEMBL201133-CHEMBL199664	1	699	28	-1	-1	0.0	43	0.24444444444444446
48	CHEMBL199884-CHEMBL199688	1	699	28	-1	-1	0.0	233	0.33333333333333326
49	CHEMBL199688-CHEMBL200105	1	699	28	-1	-1	0.0	266	0.3448275862068966
50	CHEMBL201323-CHEMBL199688	1	699	28	-1	-1	0.0	433	0.4545454545454546
51	CHEMBL199688-CHEMBL201721	1	699	28	-1	-1	0.0	540	0.4
52	CHEMBL201745-CHEMBL199688	1	699	28	-1	-1	0.0	216	0.43333333333333335
53	CHEMBL199688-CHEMBL201796	1	699	28	-1	-1	0.0	431	0.37037037037037035
54	CHEMBL202828-CHEMBL199688	1	699	28	-1	-1	0.0	432	0.4285714285714286
55	CHEMBL202876-CHEMBL199688	1	699	28	-1	-1	0.0	219	0.4545454545454546
56	CHEMBL203196-CHEMBL199688	1	699	28	-1	-1	0.0	220	0.4838709677419355
57	CHEMBL203305-CHEMBL199688	1	699	28	-1	-1	0.0	433	0.4545454545454546
58	CHEMBL199688-CHEMBL370378	1	699	28	-1	1	1.0	621	0.34615384615384615
59	CHEMBL199688-CHEMBL381214	1	699	28	-1	-1	0.0	435	0.31034482758620685
60	CHEMBL201791-CHEMBL199722	1	699	28	-1	-1	0.0	188	0.375
61	CHEMBL199722-CHEMBL370205	1	699	28	-1	-1	0.0	196	0.5714285714285714
62	CHEMBL370629-CHEMBL199722	1	699	28	-1	-1	0.0	188	0.5294117647058824
63	CHEMBL381540-CHEMBL199722	1	699	28	-1	-1	0.0	95	0.4375
