	ids	cid	#tr	#ac_tr	trueY	predY	prob	neighbor	distance
0	CHEMBL197032-CHEMBL197563	10	525	30	-1	-1	0.0	5	0.9473684210526315
1	CHEMBL202807-CHEMBL204582	10	525	30	-1	-1	0.0	711	0.6363636363636364
2	CHEMBL202807-CHEMBL206539	10	525	30	-1	-1	0.0	212	0.6470588235294118
3	CHEMBL202807-CHEMBL377953	10	525	30	-1	-1	0.0	224	0.6190476190476191
4	CHEMBL206539-CHEMBL204582	10	525	30	-1	-1	0.0	297	0.6666666666666666
5	CHEMBL377953-CHEMBL204582	10	525	30	-1	-1	0.0	142	0.6666666666666666
6	CHEMBL206387-CHEMBL205880	10	525	30	1	1	1.0	448	0.717948717948718
7	CHEMBL205880-CHEMBL377953	10	525	30	-1	-1	0.0	403	0.6129032258064516
8	CHEMBL205880-CHEMBL438973	10	525	30	-1	1	1.0	755	0.6666666666666666
9	CHEMBL206387-CHEMBL381702	10	525	30	1	1	1.0	448	0.7073170731707317
10	CHEMBL206387-CHEMBL438973	10	525	30	1	1	1.0	238	0.6976744186046512
11	CHEMBL206539-CHEMBL377953	10	525	30	-1	-1	0.0	368	0.6129032258064516
12	CHEMBL3403471-CHEMBL3403474	10	525	30	-1	-1	0.0	619	0.8
13	CHEMBL3403471-CHEMBL3403478	10	525	30	-1	-1	0.0	614	0.7419354838709677
14	CHEMBL3403478-CHEMBL3403474	10	525	30	-1	-1	0.0	614	0.75
15	CHEMBL377953-CHEMBL438973	10	525	30	-1	-1	0.0	135	0.6578947368421053
16	CHEMBL381702-CHEMBL438973	10	525	30	-1	-1	0.0	400	0.6451612903225806
17	CHEMBL524462-CHEMBL506769	10	525	30	-1	-1	0.0	769	0.25
